source,Region,Key,item_code,display_name,Markup/gkm,KVI,category,sub_category,leaf_category,PRODUCT TYPE,brand,Unit wt,Total_Inventory,Last_90day_qty_Sold,Last_90day_Sale,Last90daysale_stores_cnt,latest_MRP,CP,latest_selling,gm%,Guardrail LOWER,GUARDRAIL HIGHER,SATELLITE LOW,SATELLITE HIGH
STPLS,CG,CG707,707,Kaju Cashew 100g W180,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 180,ASM,0.1,306,722,140900,33,259,132,199,34%,30%,35%,,
STPLS,CG,CG708,708,Kaju Cashew 250g W180,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 180,ASM,0.25,250,513,204528,33,519,329,399,18%,25%,30%,,
STPLS,CG,CG11527,11527,Kaju Cashew 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,ASM,0.5,364,1106,551794,33,649,441,499,12%,15%,20%,17%,22%
STPLS,CG,CG104240,104240,Kaju Cashew Popular 500g,cost based,KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 400,ASM,0.5,786,1162,528358,33,589,420,449,6%,10%,15%,12%,17%
STPLS,CG,CG11171,11171,Kaju Tukda Four 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 4 pc,ASM,0.25,285,508,133573,32,359,215,270,20%,20%,25%,,
STPLS,CG,CG706,706,Kaju Tukda Two 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 2 pc,ASM,0.25,281,506,139604,33,369,223,280,20%,20%,25%,,
STPLS,CG,CG104535,104535,Khetika Flax Seeds 500g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,Khetika,0.5,150,29,4061,17,199,111,149,26%,35%,40%,,
STPLS,CG,CG104519,104519,Khetika Naturale Popular Almonds 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Khetika,0.5,644,46,22264,20,799,431,499,14%,15%,20%,,
STPLS,CG,CG104522,104522,Khetika Naturale Popular Cashew (W400) 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 400,Khetika,0.5,574,66,33389,24,900,449,520,14%,15%,20%,,
STPLS,CG,CG104518,104518,Khetika Naturale Premium California Almonds 200g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Khetika,0.2,206,41,10095,21,350,204,255,20%,20%,25%,,
STPLS,CG,CG104521,104521,Khetika Naturale Premium Cashew 200g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 240,Khetika,0.2,200,44,11755,21,399,221,280,21%,20%,25%,,
STPLS,CG,CG104527,104527,Khetika Naturale Premium Moongfali (Raw Peanuts) 500g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,Khetika,0.5,35,271,28863,31,149,93,125,26%,25%,30%,,
STPLS,CG,CG104520,104520,Khetika Premium Anjeer 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Khetika,0.2,69,173,57723,32,499,276,350,21%,25%,30%,,
STPLS,CG,CG104524,104524,Khetika Premium Arabian Date 500g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Khetika,0.5,225,618,64834,32,299,101,99,-2%,15%,20%,,
STPLS,CG,CG104531,104531,Khetika Premium Chia Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,CHIA SEEDS,Khetika,0.2,65,135,15711,31,199,87,125,30%,35%,40%,,
STPLS,CG,CG104525,104525,Khetika Premium Cranberry 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Cranberry,Khetika,0.2,147,48,8984,23,249,140,199,30%,40%,45%,,
STPLS,CG,CG104523,104523,Khetika Premium Fard Dates 400 g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Khetika,0.4,762,249,44037,31,325,169,175,3%,15%,20%,,
STPLS,CG,CG104530,104530,Khetika Premium Long Raisin 200g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Khetika,0.2,206,39,6710,21,299,140,180,22%,20%,25%,,
STPLS,CG,CG104537,104537,Khetika Premium Panchmeva - 200 gm,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Khetika,0.2,221,77,17955,26,299,180,235,23%,25%,30%,,
STPLS,CG,CG104532,104532,Khetika Premium Pumpkin Seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,Khetika,0.2,104,93,15287,29,249,127,169,25%,35%,40%,,
