source,KEY,STATE,STATE KEY,item_code,display_name,master category,KVI / NKVI TAG
FMCGF,WB8395,WB,2,8395,Colgate Max Fresh Cooling Crystals Spicy Fresh Toothpaste 2x150g,FMCGNF,KVI
FMCGF,CG27354,CG,3,27354,Parachute Coconut Oil Bottle 300ml,FMCGNF,KVI
FMCGF,WB4251,WB,2,4251,Lizol Citrus Surface Cleaner 500ml,FMCGNF,KVI
FMCGF,JH963,JH,1,963,Bajaj Almond Drops Hair Oil 95ml,FMCGNF,KVI
FMCGF,WB79399,WB,2,79399,Lakme Peach Milk 24 Hour Moisture Lock Non Sticky Soft Creme 50g,FMCGNF,KVI
FMCGF,JH1332,JH,1,1332,Clinic Plus Strong & Long Health Shampoo 175ml,FMCGNF,KVI
FMCGF,WB4288,WB,2,4288,Surf Excel Quick Wash Detergent 500g,FMCGNF,KVI
FMCGF,WB8580,WB,2,8580,Vim Liquid Dish Washing Gel 250ml,FMCGNF,KVI
FMCGF,JH5029,JH,1,5029,Sensodyne Toothpaste Fresh Mint 150g,FMCGNF,KVI
FMCGF,CG4251,CG,3,4251,Lizol Citrus Surface Cleaner 500ml,FMCGNF,KVI
FMCGF,JH4330,JH,1,4330,Good knight Power Activ+ Liquid Vapourizer Refill 45ml,FMCGNF,KVI
FMCGF,WB77772,WB,2,77772,Colin Sparkling Shine Glass & Multisurface Cleaner 500ml,FMCGNF,KVI
FMCGF,WB46920,WB,2,46920,Mortein Insta Mosquito Repellent Refill | 45ml | Pack of 3 (B2G1 Free),FMCGNF,KVI
FMCGF,WB1353,WB,2,1353,Colgate Maxfresh Red 150g,FMCGNF,KVI
FMCGF,JH11578,JH,1,11578,Whisper Choice Ultra XL 6 Pads,FMCGNF,KVI
FMCGF,CG77772,CG,3,77772,Colin Sparkling Shine Glass & Multisurface Cleaner 500ml,FMCGNF,KVI
FMCGF,JH4288,JH,1,4288,Surf Excel Quick Wash Detergent 500g,FMCGNF,KVI
FMCGF,JH5030,JH,1,5030,Sensodyne Toothpaste Fresh Mint 75g,FMCGNF,KVI
FMCGF,WB67616,WB,2,67616,Colgate Max Fresh Toothpaste 81g,FMCGNF,KVI
FMCGF,JH15737,JH,1,15737,Whisper Choice XL 280mm 18N,FMCGNF,KVI
FMCGF,JH964,JH,1,964,Bajaj Almond Drops Hair Oil | 180ml | Pack of 1,FMCGNF,KVI
FMCGF,JH4144,JH,1,4144,Margo Original Neem Vitamin E Moisturizing Soap| 500g | Buy 4 Get 1 Free,FMCGNF,KVI
FMCGF,JH4172,JH,1,4172,Pears Pure And Gentle Body Wash 250ml,FMCGNF,KVI
FMCGF,JH4704,JH,1,4704,Everyuth Naturals Walnut Scrub | 50g | Pack of 1,FMCGNF,KVI
FMCGF,WB27354,WB,2,27354,Parachute Coconut Oil Bottle 300ml,FMCGNF,KVI
FMCGF,CG4330,CG,3,4330,Good knight Power Activ+ Liquid Vapourizer Refill 45ml,FMCGNF,KVI
FMCGF,JH8305,JH,1,8305,Dabur Red Paste 200g,FMCGNF,KVI
FMCGF,JH1326,JH,1,1326,Clean & Clear Foaming Face Wash 100ml,FMCGNF,KVI
FMCGF,CG12463,CG,3,12463,Parachute Coconut Oil Bottle 200ml,FMCGNF,KVI
FMCGF,JH77772,JH,1,77772,Colin Sparkling Shine Glass & Multisurface Cleaner 500ml,FMCGNF,KVI
FMCGF,WB10804,WB,2,10804,Colgate Active Salt Toothpaste 200g,FMCGNF,KVI
FMCGF,WB1468,WB,2,1468,Dabur Red Toothpaste 100g,FMCGNF,KVI
FMCGF,JH87576,JH,1,87576,Pond's Bright Beauty Serum Cream | 24 g | Pack of 1,FMCGNF,KVI
FMCGF,JH8555,JH,1,8555,Sunsilk Black Shampoo 180ml,FMCGNF,KVI
FMCGF,CG5003,CG,3,5003,Parachute Coconut Oil Bottle | 100ml | Pack of 1,FMCGNF,KVI
FMCGF,JH4166,JH,1,4166,Pears Pure & Gentle Bathing Bar 75g*4N,FMCGNF,KVI
FMCGF,WB12463,WB,2,12463,Parachute Coconut Oil Bottle 200ml,FMCGNF,KVI
FMCGF,WB3911,WB,2,3911,Tresemme Keratin Smooth Argan Oil Shampoo 180ml,FMCGNF,KVI
FMCGF,WB29164,WB,2,29164,Odonil Assorted Air Freshener | 192g | Pack of 4,FMCGNF,KVI
FMCGF,JH4170,JH,1,4170,Pears Pure & Gentle Soap | 100g | Pack of 1,FMCGNF,KVI
FMCGF,JH9964,JH,1,9964,Stay Free Cotton Extra Large 12 Pads,FMCGNF,KVI
FMCGF,WB8396,WB,2,8396,Colgate Strong Teeth Toothpaste | 250g x 2 | Pack of 2,FMCGNF,KVI
FMCGF,JH69635,JH,1,69635,Glow & Lovely Advanced Multivitamin Face Cream 110g,FMCGNF,KVI
FMCGF,WB8305,WB,2,8305,Dabur Red Paste 200g,FMCGNF,KVI
FMCGF,JH4732,JH,1,4732,Himalaya Purifying Neem Face Wash | 200ml | Buy 1 Get 1 Free,FMCGNF,KVI
FMCGF,WB10665,WB,2,10665,Dettol Original Liquid Hand Wash 650ml,FMCGNF,KVI
FMCGF,JH85252,JH,1,85252,Garnier Bright Complete Vitamin C Foam Face Wash 50g,FMCGNF,KVI
