source,state,item_code,map_value,map_type,map_source,display_name,kvi_tag,mrp,current_sp
FMCGF,Chhattisgarh,8279,294.14214,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,4093,294.126,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,16240,293.37,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,930,290.87415,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,86682,290.15846,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,12848,287.74,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,10761,286.461,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,13737,286.45365,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,97022,284.55945,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,29427,284.382,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,8279,283.5245,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,103980,283.2018,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,30265,281.89846,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,30265,281.82294,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,4347,281.24828,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95143,281.1753,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,37140,280.94974,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11226,277.76846,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103980,276.3474,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,103533,274.9992,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2924,274.4994,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,12824,274.14468,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,4789,273.9639,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,4789,272.12325,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,3798,271.65606,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95374,271.03335,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11185,270.63645,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11185,270.63645,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,3239,270.37395,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2925,270.0768,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,8057,268.5208,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,1371,268.21095,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2828,267.5064,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2442,266.5005,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11184,266.0742,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11184,266.0595,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,918,265.81905,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,90031,264.81735,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,918,263.2707,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,81654,261.7545,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,918,261.1245,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,78652,259.88025,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,95149,258.1656,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,3798,257.95508,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,90024,257.5587,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,70598,257.49045,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,70474,257.47785,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,18175,256.65045,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,95141,256.1055,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,90024,256.0971,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,90031,255.7212,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,97037,255.35265,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,1371,255.12375,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,12854,254.6355,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,12854,254.6082,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,78652,254.50845,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,82803,254.39505,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,91512,254.26905,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95277,252,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,83208,251.52054,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,12874,250.66032,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103734,246.246,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103734,246.246,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11838,245.14455,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11595,244.1292,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,1232,243.5328,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,868,243.25665,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,69650,242.36835,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,709,242.01765,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,101603,241.1684,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,22729,240.8175,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,18175,240.26415,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,1372,240.26205,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104622,239.9986444,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,104622,239.9985,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,9880,239.1187969,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,9880,238.9947,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,9880,238.92015,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2620,238.3185,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11508,238.1799,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2833,237.5079,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,868,237.4008,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,95139,237.3,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,76442,237.11864,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,66271,236.4747,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,76442,236.11092,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,76442,235.7109,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,691,235.0719,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,709,234.3705,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,10717,234.369,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,4089,233.78565,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2496,233.5452,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,3070,233.0832,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,3069,233.0769,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,83321,232.6488,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2839,231.28665,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,816,230.96115,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2831,230.5695,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2405,230.4498,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,102940,230.2335,map_including_gst,MAP_DIRECT,,,,
