item_code,blinkit_url,jio_url
102942,https://blinkit.com/prn/x/prid/554131,https://www.jiomart.com/p/groceries/myfitness-choco-almond-crunchy-peanut-butter-510-g/611269178
102943,https://blinkit.com/prn/x/prid/542002,https://www.jiomart.com/p/groceries/myfitness-peanut-butter-natural-smooth-510g-100-roasted-peanuts-30g-protein-no-added-sugar-no-added-salt-no-hydrogenated-oil-zero-cholesterol-zero-trans-fat/606798189
102969,https://blinkit.com/prn/x/prid/547252,https://www.jiomart.com/p/groceries/master-chow-hot-spicy-schezwan-chutney-250-g/611718902
102971,https://blinkit.com/prn/x/prid/549284,https://www.jiomart.com/p/groceries/masterchow-white-vinegar-170-ml/611291299
102975,https://blinkit.com/prn/x/prid/552862,https://www.jiomart.com/p/groceries/masterchow-korean-cheese-instant-noodles-99-g/611291321
102977,https://blinkit.com/prn/x/prid/570633,https://www.jiomart.com/p/groceries/masterchow-korean-masala-instant-noodles-94-g/611291318
102985,https://blinkit.com/prn/x/prid/518737,https://www.jiomart.com/p/groceries/masterchow-indo-chinese-chowmein-sauce-stir-fry-cooking-sauce-all-natural-ingredients-made-in-small-batches-get-street-style-chowmein-in-just-10-minutes/603971888
10313,https://blinkit.com/prn/x/prid/169183,
103211,https://blinkit.com/prn/x/prid/692384,https://www.jiomart.com/p/groceries/lotte-pepero-crunchy-sticks-39-g/611965774
103256,https://blinkit.com/prn/x/prid/520472,https://www.jiomart.com/p/groceries/aakash-namkeen-tikha-mitha-mixture-900g/600230024
103257,https://blinkit.com/prn/x/prid/520470,
10326,https://blinkit.com/prn/x/prid/23878,https://www.jiomart.com/p/groceries/hair-care-moisturising-fruit-oils-with-green-apple-olive-mosambi-hair-oil-100-ml/490002168
10329,https://blinkit.com/prn/x/prid/574,https://www.jiomart.com/p/groceries/lay-s-chile-limon-potato-chips-52-g/590033335
103297,https://blinkit.com/prn/x/prid/681088,https://www.jiomart.com/product/auranut-premium-makhana-250g-pack-of-1-mj75hv-50818649
10331,https://blinkit.com/prn/x/prid/169812,https://www.jiomart.com/p/groceries/maggi-2-minute-masala-instant-noodles-420-g/490009127
103402,https://blinkit.com/prn/x/prid/662883,https://www.jiomart.com/p/groceries/parachute-advansed-gold-vitamin-e-coconut-hair-oil-300-ml/612582647
103531,https://blinkit.com/prn/x/prid/502386,
103533,https://blinkit.com/prn/x/prid/498003,
103538,https://blinkit.com/prn/x/prid/498004,https://www.jiomart.com/product/gopal-premium-banskathi-rice-10-kg-mi8tp2-19316159
103540,https://blinkit.com/prn/x/prid/498007,
103541,https://blinkit.com/prn/x/prid/498007,
10356,https://blinkit.com/prn/x/prid/482805,https://www.jiomart.com/p/groceries/too-yumm-american-style-cream-and-onion-potato-chips-90-g/608010088
103579,https://blinkit.com/prn/x/prid/536117,https://www.jiomart.com/p/groceries/himalaya-moisturizing-aloe-vera-face-wash-50-ml/490003370
10361,https://blinkit.com/prn/x/prid/372351,https://www.jiomart.com/p/groceries/patanjali-lemon-and-wood-ash-super-dishwash-bar-280-g-pack-of-3/590032285
10362,https://blinkit.com/prn/x/prid/372351,https://www.jiomart.com/p/groceries/patanjali-lemon-and-wood-ash-super-dishwash-bar-280-g-pack-of-3/590032285
10367,https://blinkit.com/prn/x/prid/278,https://www.jiomart.com/p/groceries/7-up-750-ml/491208777
10368,https://blinkit.com/prn/x/prid/111562,https://www.jiomart.com/product/mountain-dew-225-l-mffmvp-7511432
103692,https://blinkit.com/prn/x/prid/699183,https://www.jiomart.com/p/groceries/india-gate-classic-hyderabadi-briyani-masala-70-g/608746773
103696,https://blinkit.com/prn/x/prid/623140,https://www.jiomart.com/p/groceries/india-gate-uplife-gut-pro-multi-source-edible-oil-810-g/613090944
1037,https://blinkit.com/prn/x/prid/59663,https://www.jiomart.com/product/bisk-farm-googly-biscuits-200-g-mffn4h-7530286
103708,https://blinkit.com/prn/x/prid/543646,
103709,https://blinkit.com/prn/x/prid/543648,
103710,https://blinkit.com/prn/x/prid/520066,
103734,https://blinkit.com/prn/x/prid/681088,https://www.jiomart.com/p/groceries/crunchi-waves-regular-foxnut-makhana-healthy-snack-gluten-free-vegan-protein-fiber-rich-superfood-ideal-for-weight-management-diabetic-friendly-light-crispy-250g/613152226
10375,https://blinkit.com/prn/x/prid/111385,https://www.jiomart.com/p/groceries/maggi-masala-penne-instant-pazzta-65-g-pouch/490642339
103759,https://blinkit.com/prn/x/prid/127174,https://www.jiomart.com/p/groceries/lakme-9-to-5-all-in-1-spf-30-pa-instant-skin-stylist-cc-cream-honey-02-9-g/490935971
10376,https://blinkit.com/prn/x/prid/82341,https://www.jiomart.com/product/maggi-pazzta-cheese-macaroni-75-g-mffn2j-7526123
103761,https://blinkit.com/prn/x/prid/546959,https://www.jiomart.com/p/groceries/vlcc-skin-defense-almond-honey-deep-nourishing-skin-brightening-body-lotion-350-ml/490936001
103775,https://blinkit.com/prn/x/prid/498987,
103776,https://blinkit.com/prn/x/prid/122644,
103781,https://blinkit.com/prn/x/prid/11636,
103784,https://blinkit.com/prn/x/prid/725586,https://www.jiomart.com/product/fortune-soya-health-refined-soybean-oil-750-g-mg0tdl-7651546
103869,https://blinkit.com/prn/x/prid/502645,https://www.jiomart.com/p/groceries/keya-dark-soya-sauce-200-g/611008485
10387,https://blinkit.com/prn/x/prid/771,https://www.jiomart.com/p/groceries/mtr-instant-rava-idli-mix-200-g/490009575
103870,https://blinkit.com/prn/x/prid/502644,https://www.jiomart.com/p/groceries/keya-green-chilli-sauce-190-g/611008484
103871,https://blinkit.com/prn/x/prid/502643,https://www.jiomart.com/p/groceries/keya-red-chilli-sauce-200-g/611008486
103873,https://blinkit.com/prn/x/prid/499469,https://www.jiomart.com/p/groceries/keya-veg-hakka-noodles-450-g-pack-of-3/611008566
10388,https://blinkit.com/prn/x/prid/23458,https://www.jiomart.com/p/groceries/mtr-rice-idli-ready-mix-200-g/490081393
10389,https://blinkit.com/prn/x/prid/390228,https://www.jiomart.com/p/groceries/mtr-instant-gulab-jamun-mix-175-g-50-off-on-1-unit/491418354
103893,https://blinkit.com/prn/x/prid/378975,https://www.jiomart.com/p/groceries/nihar-naturals-jasmine-coconut-hair-oil-400-ml/590032311
103920,https://blinkit.com/prn/x/prid/396110,https://www.jiomart.com/p/groceries/parle-monaco-classic-salted-biscuits-52-2-g/611386778
103921,https://blinkit.com/prn/x/prid/486825,https://www.jiomart.com/p/groceries/bikaji-tana-tan-aloo-bhujia-400-g/490005314
103922,https://blinkit.com/prn/x/prid/524899,https://www.jiomart.com/p/groceries/bikaji-bikaner-chowpati-bhelpuri-110-g/608498429
103925,https://blinkit.com/prn/x/prid/488531,
103926,https://blinkit.com/prn/x/prid/249244,
103927,https://blinkit.com/prn/x/prid/346620,https://www.jiomart.com/p/groceries/baidyanath-sugarfree-chyawan-vit-500-gm-specially-formulated-chyawanprash-with-no-added-sugar-with-benefits-of-amla-ashwagandha-and-almonds-ayurvedic-immunity-booster/609156309
103928,https://blinkit.com/prn/x/prid/656974,https://www.jiomart.com/p/groceries/baidyanath-isabgol-psyllium-husk-powder-100gm-effective-constipation-relief-digestive-health/610023041
103931,https://blinkit.com/prn/x/prid/486738,
103934,https://blinkit.com/prn/x/prid/617916,
103960,https://blinkit.com/prn/x/prid/481933,
103968,https://blinkit.com/prn/x/prid/539348,https://www.jiomart.com/p/groceries/wickedgud-masala-instant-noodles-69-g/609540852
103969,https://blinkit.com/prn/x/prid/488290,https://www.jiomart.com/p/groceries/wickedgud-schezwan-instant-noodles-69-g/609540846
103970,https://blinkit.com/prn/x/prid/540659,https://www.jiomart.com/p/groceries/wickedgud-masala-instant-noodles-69-g/609540852
103971,https://blinkit.com/prn/x/prid/499277,https://www.jiomart.com/p/groceries/wickedgud-schezwan-instant-noodles-69-g/609540846
103973,https://blinkit.com/prn/x/prid/567905,https://www.jiomart.com/p/groceries/wickedgud-masala-cup-noodles-67-g/610889081
103974,https://blinkit.com/prn/x/prid/709848,
103982,https://blinkit.com/prn/x/prid/24479,https://www.jiomart.com/p/groceries/patanjali-cow-ghee-500-ml-carton/491249531
103983,https://blinkit.com/prn/x/prid/11196,http://jiomart.com/p/groceries/patanjali-cow-ghee-1-1-l/605854311
103992,https://blinkit.com/prn/x/prid/705840,https://www.jiomart.com/p/groceries/teddyy-baby-diapers-pants-easy-medium-28-count-pack-of-2/601755229
103993,https://blinkit.com/prn/x/prid/705845,
103994,https://blinkit.com/prn/x/prid/706381,
103997,https://blinkit.com/prn/x/prid/705840,https://www.jiomart.com/p/groceries/teddyy-baby-easy-medium-diaper-pants-pack-of-54/604602960
104000,https://blinkit.com/prn/x/prid/705840,
104002,https://blinkit.com/prn/x/prid/706381,
104003,https://blinkit.com/prn/x/prid/707088,https://www.jiomart.com/p/groceries/cadbury-chocolate-dairy-milk-milkinis-34-g/612344979
104004,https://blinkit.com/prn/x/prid/707088,https://www.jiomart.com/p/groceries/cadbury-chocolate-dairy-milk-milkinis-17-g/612345296
