State,Item Code,Item Name,Category,Sub-Category,Leaf Category,Brand,Product Type,Marketd By,Master Catgory
WB,97654,Rathi Rumal Microfibre Duster | Multicolor | Pack of 1 | Colour May Vary,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Dust Cloth & Wipes,Kishan's,Microfiber Duster,Rathi Rumal,GM
WB,5099,Ro Clean Garbage Bags | Medium | Pack of 1,Cleaning & Household Needs,Disposables & Garbage Bag,Garbage Bags,Local,Garbage Bags,Local,GM
WB,8539,Ro Clean Garbage Bags | Small | Pack of 1,Cleaning & Household Needs,Disposables & Garbage Bag,Garbage Bags,Local,Garbage Bags,Local,GM
WB,80730,Royal Gold Super Soft Napkin Tissue Paper Napkin | 90 Pulls | Pack of 1,Cleaning & Household Needs,Disposables & Garbage Bag,Paper Napkin & Tissue Box,Premier,Napkins,Premier Tissues India,GM
WB,4500,Scotch Brite Combo Stainless Steel Scrubber Scrub Pad | Pack of 1,Home & Kitchen,Kitchen Cleaning,Dishwash Scrubs,Scotch Brite,Steel Scrub,3M INDIA,GM
WB,11073,Scotch Brite Power Scrub Tough Stain Removal | Pack of 1,Home & Kitchen,Kitchen Cleaning,Dishwash Scrubs,Scotch Brite,Cleaning Scrub Pad,3M INDIA,GM
WB,4501,Scotch Brite Silver Sparks Scrub | Pack of 1,Home & Kitchen,Kitchen Cleaning,Dishwash Scrubs,Scotch Brite,Cleaning Scrub Pad,3M INDIA,GM
WB,4503,Scotch Brite Silver Sparks Scrub Pad | Pack of 3,Home & Kitchen,Kitchen Cleaning,Dishwash Scrubs,Scotch Brite,Cleaning Scrub Pad,3M INDIA,GM
WB,4499,Scotch Brite Stainless Steel Scrubber | Pack of 1,Home & Kitchen,Kitchen Cleaning,Dishwash Scrubs,Scotch Brite,Steel Scrub,3M INDIA,GM
WB,96532,Shubhkart Darshana Camphor Pooja Oil | 900ml | Pack of 1,Pooja Needs,Pooja Needs,Lamp Oil & Ghee,Shubhkart,Puja Oil,Shubhkart India,GM
WB,96533,Shubhkart Darshana Pooja Ghee Jar | 200ml | Pack of 1,Pooja Needs,Pooja Needs,Lamp Oil & Ghee,Shubhkart,Ghee,Shubhkart India,GM
WB,96521,Shubhkart Nirmal 5 In 1 Agarbatti | 125g | Pack of 1,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Shubhkart,Agarbatti,Shubhkart India,GM
WB,96523,Shubhkart Nirmal Kapoor Lobhan Agarbatti | 125g | Pack of 1,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Shubhkart,Agarbatti,Shubhkart India,GM
WB,96522,Shubhkart Nirmal Kesar Chandan Agarbatti | 125g | Pack of 1,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Shubhkart,Agarbatti,Shubhkart India,GM
WB,96527,Shubhkart Nirmal Rose Dry Dhoop Stick | Pack of 10,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Shubhkart,Dhoop,Shubhkart India,GM
WB,78912,Shubhkart Samai Diya Wicks | 4g | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Shubhkart,Wicks,Shubhkart India,GM
WB,96524,Shubhkart Surabhi Pure Camphor Container | 100g | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Shubhkart,Camphor,Shubhkart India,GM
WB,96531,Shubhkart Tejas Pure Ghee Wicks | 30 Pcs | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Shubhkart,Wicks,Shubhkart India,GM
